"country","year","Life_Expectancy","gdp_ppp_mean","gdp_usd_mean"
"Bangladesh",1960,47.0245609756098,1238,563
"Bangladesh",1961,47.6089024390244,1239,576
"Bangladesh",1962,48.2015609756098,1248,585
"Bangladesh",1963,48.7763170731707,1301,586
"Bangladesh",1964,49.2930487804878,1286,610
"Bangladesh",1965,49.649756097561,1282,608
"Bangladesh",1966,49.7330487804878,1278,606
"Bangladesh",1967,49.5096341463415,1223,582
"Bangladesh",1968,49.0102195121951,1260,611
"Bangladesh",1969,48.3108536585366,1272,607
"Bangladesh",1970,47.584512195122,1320,624
"Bangladesh",1971,47.0506829268293,1253,583
"Bangladesh",1972,46.879243902439,1136,503
"Bangladesh",1973,47.1661707317073,1018,506
"Bangladesh",1974,47.9199512195122,1051,542
"Bangladesh",1975,49.0616341463415,1004,514
"Bangladesh",1976,50.434243902439,1071,531
"Bangladesh",1977,51.8248536585366,1076,532
"Bangladesh",1978,53.067,1095,552
"Bangladesh",1979,54.0886829268293,1122,563
"Bangladesh",1980,54.8689268292683,1097,553
"Bangladesh",1981,55.4431951219512,1098,566
"Bangladesh",1982,55.9184878048781,1079,562
"Bangladesh",1983,56.3812195121951,1091,571
"Bangladesh",1984,56.8584146341463,1144,585
"Bangladesh",1985,57.3630487804878,1157,588
"Bangladesh",1986,57.8951219512195,1167,597
"Bangladesh",1987,58.4331707317073,1169,604
"Bangladesh",1988,58.9631463414634,1174,603
"Bangladesh",1989,59.4875853658537,1223,604
"Bangladesh",1990,60.0084878048781,1252,625
"Bangladesh",1991,60.5318292682927,1280,631
"Bangladesh",1992,61.0621463414634,1300,648
"Bangladesh",1993,61.6004146341464,1326,663
"Bangladesh",1994,62.1451707317073,1360,675
"Bangladesh",1995,62.6938780487805,1394,694
"Bangladesh",1996,63.2420731707317,1421,710
"Bangladesh",1997,63.783756097561,1436,731
"Bangladesh",1998,64.3134390243903,1460,753
"Bangladesh",1999,64.8265853658537,1494,773
"Bangladesh",2000,65.3197317073171,1549,802
"Bangladesh",2001,65.7903414634146,1601,828
"Bangladesh",2002,66.2399024390244,1643,847
"Bangladesh",2003,66.6709268292683,1687,875
"Bangladesh",2004,67.0859756097561,1742,912
"Bangladesh",2005,67.4895609756098,1807,954
"Bangladesh",2006,67.8872682926829,1927,1003
"Bangladesh",2007,68.2831463414634,2073,1061
"Bangladesh",2008,68.6807073170732,2199,1112
"Bangladesh",2009,69.0819268292683,2346,1155
"Bangladesh",2010,69.4858048780488,2496,1206
"Bangladesh",2011,69.8918048780488,2689,1269
"Bangladesh",2012,70.2948536585366,2879,1337
"Bangladesh",2013,70.6933902439024,3022,1401
"China",1960,43.4658048780488,758,268
"China",1961,43.780756097561,642,216
"China",1962,44.7126585365854,675,214
"China",1963,46.331,740,229
"China",1964,48.5808780487805,815,255
"China",1965,51.2914390243903,873,281
"China",1966,54.2041219512195,885,293
"China",1967,57.0123902439024,873,280
"China",1968,59.4688536585366,833,266
"China",1969,61.4511707317073,896,291
"China",1970,62.906243902439,983,325
"China",1971,63.872243902439,1027,338
"China",1972,64.5214634146342,1005,341
"China",1973,65.0032926829268,1061,359
"China",1974,65.3792926829268,1064,360
